,mbta_part_number,description,mfg,mfg_itm_id
30057,31407046,BRUSH-#6 BRISTLE STENCIL,ALL WELD,PPG 10100
30058,31407046,BRUSH-#6 BRISTLE STENCIL,BEACON BR.,CAT.#6650
30059,31407050,"BRUSH-PAINT 11/2"" -1/ 2"" THK 23/8"" LGH OUT WD SASH HDL",AMERICAN,2212
30060,31407050,"BRUSH-PAINT 11/2"" -1/ 2"" THK 23/8"" LGH OUT WD SASH HDL",GENERIC,CARD TO BUYER
30061,31407051,"BRUSH-PAINT2"" -9/16"" T HK 211/16LGH OUT WD HDL NYL BR",AMERICAN,520
30062,31407051,"BRUSH-PAINT2"" -9/16"" T HK 211/16LGH OUT WD HDL NYL BR",ARROWWORTHY,"2010-2"""
30063,31407051,"BRUSH-PAINT2"" -9/16"" T HK 211/16LGH OUT WD HDL NYL BR",COLONIAL P,PRO 12720 FLAT INT/E
30064,31407051,"BRUSH-PAINT2"" -9/16"" T HK 211/16LGH OUT WD HDL NYL BR",GENERIC,CARD TO BUYER
30065,31407052,"BRUSH-PAINT 21/2"" -5/ 8"" TH 27/8"" LG OUT WD HDL NYLN B",BESTT LIEB,"PEORIA 2-1/2"" 254002"
30066,31407052,"BRUSH-PAINT 21/2"" -5/ 8"" TH 27/8"" LG OUT WD HDL NYLN B",PURDY,"NYLOX BOW 2-1/2"" 064"
30067,31407052,"BRUSH-PAINT 21/2"" -5/ 8"" TH 27/8"" LG OUT WD HDL NYLN B",WOOSTER BRUSH,"FAWN 2-1/2"" 10905-7 - OBSOLETE"
30068,31407052,"BRUSH-PAINT 21/2"" -5/ 8"" TH 27/8"" LG OUT WD HDL NYLN B",WOOSTER BRUSH,5220 / 2- 1/2
30069,31407053,"BRUSH-PAINT 3"" - 1"" THK 3-5/8"" LGH OUT WD HDL NYL BR",AMERICAN,2426
30070,31407053,"BRUSH-PAINT 3"" - 1"" THK 3-5/8"" LGH OUT WD HDL NYL BR",BESTT LIEB,21036 TYNEX
30071,31407053,"BRUSH-PAINT 3"" - 1"" THK 3-5/8"" LGH OUT WD HDL NYL BR",GENERIC,CARD TO BUYER
30072,31407054,"MARKER-METAL 3/16"" YELLOW",J. P. NISSEN,MMYEB
30073,31407060,"ROLLER COVER-1/2"" NA P 9"" LG MED SUF(FLAT PAINTS)",BESTT LIEB,"85209   (1/2"" NAP 9"""
30074,31407060,"ROLLER COVER-1/2"" NA P 9"" LG MED SUF(FLAT PAINTS)",SHERWIN WI,935-0893
30075,31407060,"ROLLER COVER-1/2"" NA P 9"" LG MED SUF(FLAT PAINTS)",SHERWIN WI,7339
30076,31407060,"ROLLER COVER-1/2"" NA P 9"" LG MED SUF(FLAT PAINTS)",WOOSTER,RR661-9
30077,31407061,"ROLLER-PAINT,9"" HEAVY DUTY (REUSEABLE)",DYNAMIC,RR661-9
30078,31407061,"ROLLER-PAINT,9"" HEAVY DUTY (REUSEABLE)",SHERMIN WILLIAMS,9350893
30079,31407061,"ROLLER-PAINT,9"" HEAVY DUTY (REUSEABLE)",THE SHERWI,172-8500
30080,31407065,FRAMES-9 IN.ROLLER-HEAVY DUTY,DYNAMIC,08230/HRF9
30081,31407066,GRIDS-9 IN. METAL BUCKET,GRAINGER,3UW49
30082,31407066,GRIDS-9 IN. METAL BUCKET,IMPORT,F0001
30083,31407066,GRIDS-9 IN. METAL BUCKET,WOOSTER,R001
30084,31408005,CLEANER-3IN STEEL WI RE TUBE--WAL. R4759,WALWORTH,R4759
30085,31408010,BRUSH-3 KNOT ROOF OX FIBRE 3K,EMPIRE,470711
30086,31409001,CAN-ONE GALLON SAFETY,BLITZ,BLITZ 81005 8/PK N/L/A
30087,31409001,CAN-ONE GALLON SAFETY,BLITZ,51805 N/L/A
30088,31409001,CAN-ONE GALLON SAFETY,BLITZ,11805  N/L/A 12/03
30089,31409001,CAN-ONE GALLON SAFETY,EAGLE,M-1 N/L/A 11/01
30090,31409001,CAN-ONE GALLON SAFETY,HONDA,06176-1415-C6
30091,31409003,CAN-GASOLINE 5 GAL SAFETY NON-EXPLOSIV STEEL W/U/L,EAGLE,UI-50-FS
30092,31409003,CAN-GASOLINE 5 GAL SAFETY NON-EXPLOSIV STEEL W/U/L,JUST-RITE,10802
30093,31409003,CAN-GASOLINE 5 GAL SAFETY NON-EXPLOSIV STEEL W/U/L,EAGLE,UI-50-FS
30094,31409003,CAN-GASOLINE 5 GAL SAFETY NON-EXPLOSIV STEEL W/U/L,JUST-RITE,10802
30095,31409004,OILER 11/2 PT HD PUMP W/FLX SPT GLDNRD DUTTON-LASN N/L/A,EAGLE,29F N/L/A
30096,31409004,OILER 11/2 PT HD PUMP W/FLX SPT GLDNRD DUTTON-LASN N/L/A,GENERIC,120B3 N/L/A
30097,31409105,"WRENCH - 1 1/8"" OPEN END",PROTO,J1236ASD
30098,31409105,"WRENCH - 1 1/8"" OPEN END",PROTO,J1236 N/L/A
30099,31409106,"WRENCH - 1"" OPEN END",PROTO,1232
30100,31409106,"WRENCH - 1"" OPEN END",PROTO,J1232-T500
30101,31409107,"WRENCH - 7/8"" OPEN E ND",ALLEN,20216
30102,31409107,"WRENCH - 7/8"" OPEN E ND",PROTO,1228ASD
30103,31411001,CHISEL OR SCRAPER-IC E SIDEWALK 7INX5IN 48IN HANDLE,AMES,16-478
30104,31411001,CHISEL OR SCRAPER-IC E SIDEWALK 7INX5IN 48IN HANDLE,TRU-TEMPER,6
30105,31411001,CHISEL OR SCRAPER-IC E SIDEWALK 7INX5IN 48IN HANDLE,UNION,RHSC
30106,31411007,"CHISEL-HAND COLD FLAT 7/8 X 8"" LONG 1"" WIDTH OF CUT",ARMSTRONG,70-317
30107,31411007,"CHISEL-HAND COLD FLAT 7/8 X 8"" LONG 1"" WIDTH OF CUT",DASCO,417
30108,31411007,"CHISEL-HAND COLD FLAT 7/8 X 8"" LONG 1"" WIDTH OF CUT",PROTO,J86A-7/8X8
30109,31411007,"CHISEL-HAND COLD FLAT 7/8 X 8"" LONG 1"" WIDTH OF CUT",UTICA,C6 EDP 90326
30110,31411013,CHISEL-TRACK SQ BIT AREA PLAN 35 W/HNDL GR B ALLOY,AMES,"10183(24"" HANDLE)"
30111,31411013,CHISEL-TRACK SQ BIT AREA PLAN 35 W/HNDL GR B ALLOY,WARWOOD TO,"51711-7  (24"" HANDLE"
30112,31411013,CHISEL-TRACK SQ BIT AREA PLAN 35 W/HNDL GR B ALLOY,WOODINGS-V,"27931   (24"" HANDLE)"
30113,31412008,CLAMP 3 INCH MECHANICS,BRIN.&COTT,41405
30114,31412008,CLAMP 3 INCH MECHANICS,WILTON/JPW BRAND,41405
30115,31412009,"CLAMP 6 INCH MECHANICS "" C""",BINK COTTO,146-N
30116,31412009,"CLAMP 6 INCH MECHANICS "" C""",BRIN.&COTT,41460
30117,31412010,"CLAMP 8 INCH MECHANICS "" C""",BRINK & CO,148-N
30118,31412010,"CLAMP 8 INCH MECHANICS "" C""",BRINK & COTTON,41480  -  BRINK & COTTON
30119,31412010,"CLAMP 8 INCH MECHANICS "" C""",WILTON,41409 - WILTON
30120,31412019,"TOOL-CRIMPING,NICOPR ESS SLEEVE",PHILIP A R,51-X-850
30121,31412020,TOOL-BAND-IT,HINDS & COON,C00169
30122,31412021,"BAND-3/4"" STAINLESS STEEL",BAND-IT,C206
30123,31412021,"BAND-3/4"" STAINLESS STEEL",HINDS & CO,C206
30124,31412021,"BAND-3/4"" STAINLESS STEEL",BAND-IT,C206
30125,31412021,"BAND-3/4"" STAINLESS STEEL",HINDS & CO,C206
30126,31412022,"BUCKLE-3/4"" BAND IT TYPE 201 SS 100 BOX",BAND-IT,BAND-IT C256 100/BOX
30127,31412022,"BUCKLE-3/4"" BAND IT TYPE 201 SS 100 BOX",BAND-IT,C256 100 BOX
30128,31412022,"BUCKLE-3/4"" BAND IT TYPE 201 SS 100 BOX",HINDS & CO,C256
30129,31412023,"BRACKET-3/4""",HINDS & CO,D022
30130,31412024,"BRACKET-3/4""",HINDS & CO,D021
30131,31412025,"BRACKET-3/4""",HINDS & CO,D004
30132,31412026,CLAMP-MINERALLAC,HINDS & CO,6H1B
30133,31415001,CLIP-1/4 IN GALVANIZED DROP FORGED WIRE,CROSBY,G-450/1010051
30134,31415001,CLIP-1/4 IN GALVANIZED DROP FORGED WIRE,CROSBY,CROSBY G-450/1010051
30135,31415002,CLIP-5/16 GALV DROP FORGED WIRE ROPE,CAMPBELL,699-0534
30136,31415004,CLIP-1/2 GALV DROP FORGED WIRE ROPE,COOPER,1000-12
30137,31415004,CLIP-1/2 GALV DROP FORGED WIRE ROPE,CROSBY-LAU,G-450
30138,31415006,CLIP-3/4 GALV DROP FORGED WIRE ROPE,CROSBY-LAU,G-450
30139,31415008,CLIP-1/8IN. GALVANIZED DROP FORGED WIRE ROPE,CAMPBELL,669-0234
30140,31415008,CLIP-1/8IN. GALVANIZED DROP FORGED WIRE ROPE,CROSBY,G450
30141,31415009,"WIRE CLIP 7/16"" STRAND ML-115",H.K.PORTER,G-450
30142,31416003,COUPLING 1/2IN OF ROLLED BAR STEEL AUTOMATIC HOSE,U.S. AIR,BOWES--------
30143,31416004,"COUPLING-AUTOM HOS 1 /2"" O.M. ROLLD BAR STL-REF BOWS",US AIRCOMP,QM-42
30144,31416005,"COUPLING-BOWES 3/4"" H F ROLLED BAR STEEL AUTOMA HOSE",BOWES,51536
30145,31416005,"COUPLING-BOWES 3/4"" H F ROLLED BAR STEEL AUTOMA HOSE",BOWES,75-S-HF6
